X Y |E| dxE dyE 
3 36 0.00320415 -0.00223217 0.00229869
3 37 0.00271259 -0.00147739 0.00227496
3 38 0.00237895 -0.000735469 0.00226241
3 39 0 0 0
4 0 1.64757 0 1.64757
4 1 1.48278 -0.298308 1.45246
4 2 1.2971 -0.504094 1.19514
4 3 1.13364 -0.608148 0.956712
4 4 0.994771 -0.637696 0.763487
4 5 0.875218 -0.622199 0.615528
4 6 0.770987 -0.582864 0.504669
4 7 0.679594 -0.532642 0.422067
4 8 0.59929 -0.478729 0.36051
4 9 0.528701 -0.424826 0.314719
4 10 0.466745 -0.372635 0.281058
4 11 0.412669 -0.322725 0.257184
4 12 0.366119 -0.274939 0.241769
4 13 0.327259 -0.228449 0.234327
4 14 0.297023 -0.181445 0.23516
4 15 0.278149 -0.130366 0.245706
4 16 0.280678 -0.0695538 0.271924
4 17 0 0 0
4 18 0 0 0
4 19 0 0 0
4 20 0 0 0
4 21 0.0155904 0 -0.0155904
4 22 0.0140024 -0.00865159 -0.0110098
4 23 0.0144498 -0.0128302 -0.00664714
4 24 0.0142694 -0.0139103 -0.00318085
4 25 0.0134907 -0.0134729 -0.000692631
4 26 0.0124441 -0.0124053 0.000981926
4 27 0.0113221 -0.0111348 0.00205088
4 28 0.0102134 -0.0098514 0.00269503
4 29 0.00915529 -0.00863123 0.00305306
4 30 0.00816238 -0.00749814 0.00322528
4 31 0.00723945 -0.00645283 0.00328187
4 32 0.00638769 -0.0054867 0.00327088
4 33 0.00560791 -0.00458807 0.00322463
4 34 0.00490295 -0.00374495 0.00316453
4 35 0.00427987 -0.00294606 0.00310451
4 36 0.00375247 -0.00218113 0.00305347
4 37 0.00334328 -0.00144081 0.00301688
4 38 0.00308231 -0.000716468 0.00299788
4 39 0 0 0
5 0 1.34927 0 1.34927
5 1 1.26195 -0.195719 1.24668
5 2 1.1454 -0.348505 1.09109
5 3 1.02809 -0.444222 0.927164
5 4 0.920023 -0.489517 0.778984
5 5 0.822757 -0.498078 0.654864
5 6 0.735587 -0.482891 0.554891
5 7 0.657592 -0.45373 0.475979
5 8 0.588016 -0.417163 0.414413
5 9 0.526302 -0.377322 0.366909
5 10 0.472126 -0.336694 0.330968
5 11 0.425506 -0.296729 0.304971
5 12 0.387006 -0.258226 0.288258
5 13 0.358078 -0.221522 0.281332
5 14 0.341555 -0.186352 0.286238
5 15 0.341537 -0.150646 0.306518
5 16 0.357113 -0.104513 0.341477
5 17 0 0 0
5 18 0 0 0
5 19 0 0 0
5 20 0 0 0
5 21 0.024242 0 -0.024242
5 22 0.0233272 -0.0177051 -0.0151884
5 23 0.0217129 -0.0202913 -0.00772727
5 24 0.0190923 -0.0188942 -0.00274343
5 25 0.0165955 -0.0165913 0.000374957
5 26 0.0144593 -0.0142828 0.0022524
5 27 0.0126636 -0.0122167 0.00333431
5 28 0.0111428 -0.0104323 0.0039152
5 29 0.00983732 -0.00890219 0.00418616
5 30 0.00870247 -0.00758256 0.00427058
5 31 0.00770673 -0.00643025 0.004248
5 32 0.00682887 -0.00540821 0.00416951
5 33 0.00605587 -0.00448631 0.00406775
