X Y V 
3 51 -9.26473
3 52 -9.26386
3 53 -9.2625
3 54 -9.26065
3 55 -9.25828
3 56 -9.25539
3 57 -9.25195
3 58 -9.24793
3 59 -9.24331
3 60 -9.23806
3 61 -9.23213
3 62 -9.22549
3 63 -9.21808
3 64 -9.20984
3 65 -9.20071
3 66 -9.19061
3 67 -9.17947
3 68 -9.16717
3 69 -9.15362
3 70 -9.13869
3 71 -9.12223
3 72 -9.10407
3 73 -9.08403
3 74 -9.06188
3 75 -9.03736
3 76 -9.01018
3 77 -8.97996
3 78 -8.94628
3 79 -8.90864
3 80 -8.86643
3 81 -8.81889
3 82 -8.76513
3 83 -8.70401
3 84 -8.63413
3 85 -8.5537
3 86 -8.46041
3 87 -8.35127
3 88 -8.2223
3 89 -8.06811
3 90 -7.88126
3 91 -7.65128
3 92 -7.36306
3 93 -6.99429
3 94 -6.51155
3 95 -5.8644
3 96 -4.97838
3 97 -3.75273
3 98 -2.08669
3 99 0
4 0 0
4 1 -1.57496
4 2 -2.95469
4 3 -4.07684
4 4 -4.96012
4 5 -5.64955
4 6 -6.19011
4 7 -6.61857
4 8 -6.96271
4 9 -7.24293
4 10 -7.4741
4 11 -7.66713
4 12 -7.83006
4 13 -7.96893
4 14 -8.08831
4 15 -8.19174
4 16 -8.28194
4 17 -8.36109
4 18 -8.43092
4 19 -8.4928
4 20 -8.54788
4 21 -8.59708
4 22 -8.64118
4 23 -8.68082
4 24 -8.71654
4 25 -8.74879
4 26 -8.77798
4 27 -8.80443
4 28 -8.82842
4 29 -8.85021
4 30 -8.87002
4 31 -8.88802
4 32 -8.90438
4 33 -8.91924
4 34 -8.93273
4 35 -8.94496
4 36 -8.95603
4 37 -8.96601
4 38 -8.97499
4 39 -8.98303
4 40 -8.99019
4 41 -8.99651
4 42 -9.00205
4 43 -9.00683
4 44 -9.01089
4 45 -9.01426
4 46 -9.01695
4 47 -9.01899
4 48 -9.02038
4 49 -9.02113
4 50 -9.02125
4 51 -9.02074
4 52 -9.01959
4 53 -9.0178
4 54 -9.01534
4 55 -9.01221
4 56 -9.00838
4 57 -9.00383
