X Y |E| dxE dyE 
1 77 0.340603 0.34041 0.0114588
1 78 0.351926 0.351692 0.0128297
1 79 0.364593 0.364308 0.0144182
1 80 0.378812 0.378463 0.0162726
1 81 0.394841 0.39441 0.0184554
1 82 0.412995 0.412458 0.021049
1 83 0.433663 0.43299 0.0241627
1 84 0.457342 0.456487 0.027945
1 85 0.484659 0.483561 0.0326016
1 86 0.516432 0.515001 0.0384235
1 87 0.553739 0.551839 0.0458338
1 88 0.598031 0.595453 0.0554666
1 89 0.651308 0.647716 0.0683068
1 90 0.716397 0.711223 0.0859503
1 91 0.79743 0.78965 0.11112
1 92 0.900673 0.888302 0.148761
1 93 1.03612 1.01491 0.208558
1 94 1.22089 1.18054 0.311289
1 95 1.48818 1.39932 0.506533
1 96 1.91927 1.68045 0.927176
1 97 2.79693 1.98133 1.97412
1 98 5.37514 1.97893 4.9976
1 99 0 0 0
2 0 3.01847 0 -3.01847
2 1 2.18076 0.932078 -1.97153
2 2 1.74354 1.23785 -1.22787
2 3 1.46921 1.24034 -0.787495
2 4 1.25902 1.14207 -0.529906
2 5 1.09118 1.02508 -0.37403
2 6 0.957026 0.916597 -0.275227
2 7 0.849541 0.823269 -0.209639
2 8 0.762773 0.744879 -0.164253
2 9 0.691988 0.67934 -0.131698
2 10 0.633573 0.624365 -0.107624
2 11 0.584819 0.577953 -0.0893528
2 12 0.543697 0.538475 -0.0751758
2 13 0.508678 0.50464 -0.0639646
2 14 0.478597 0.475432 -0.0549519
2 15 0.45256 0.450049 -0.0476021
2 16 0.429867 0.427856 -0.0415325
2 17 0.40997 0.408345 -0.0364639
2 18 0.392428 0.391106 -0.0321892
2 19 0.37689 0.375807 -0.0285519
2 20 0.363068 0.362176 -0.0254319
2 21 0.350725 0.349987 -0.0227364
2 22 0.339667 0.339055 -0.0203919
2 23 0.329732 0.329221 -0.0183405
2 24 0.320781 0.320355 -0.0165352
2 25 0.312701 0.312344 -0.0149384
2 26 0.305392 0.305093 -0.0135189
2 27 0.29877 0.298519 -0.0122513
2 28 0.292764 0.292553 -0.0111144
2 29 0.287311 0.287133 -0.0100903
2 30 0.282356 0.282207 -0.00916422
